Season,Country,ILI_CASES,REL,B_REL,H3_REL,H1pdm_REL,H3_REL_LAG1,H1pdm_REL_LAG1,B_REL_LAG1,H3_REL_LAG2,H1pdm_REL_LAG2,B_REL_LAG2,H3_REL_LAG3,H1pdm_REL_LAG3,B_REL_LAG3
2014,Ireland,1666,0.0878877400295421,0.232139703529756,0.570460555974861,0.0762771407908039,0.483908632937394,0.23590545855698,0.0145180460873946,0.867099275281807,0.405364268518054,0.50955797972831,1.40733794289576,0.406485095629286,0.549544760588693
2015,Ireland,2207,0.116427516353661,0.420094048972416,0.0289106332276737,0.715270481336521,0.570460555974861,0.0762771407908039,0.232139703529756,1.05436918891226,0.312182599347784,0.246657749617151,1.43755983125667,0.481641409308858,0.741697683258067
2016,Ireland,1593,0.0840367166068791,0.0497701728332145,0.78377758271313,0.00681941052244603,0.0289106332276737,0.715270481336521,0.420094048972416,0.599371189202535,0.791547622127325,0.652233752502173,1.08327982213993,1.0274530806843,0.666751798589567
2017,Ireland,2645,0.139533656889639,0.774485456039023,0.479243990299845,0.141607122557524,0.78377758271313,0.00681941052244603,0.0497701728332145,0.812688215940804,0.722089891858967,0.469864221805631,1.38314877191566,0.798367032649771,0.702003925335387
2018,Ireland,1449,0.0764401772525849,0.00543752664844296,0.187117913154107,0.5718463327233,0.479243990299845,0.141607122557524,0.774485456039023,1.26302157301297,0.14842653307997,0.824255628872237,1.29193220624065,0.863697014416491,1.24434967784465
2019,Ireland,1873,0.0988077653513399,0.258998484771975,0.62190799823901,0.107171170502414,0.187117913154107,0.5718463327233,0.00543752664844296,0.666361903453952,0.713453455280824,0.779922982687466,1.45013948616708,0.72027286580327,0.82969315552068
2010,Israel,33613,0.129270825321129,0.303723686676828,0.393509010663251,0.595475555871212,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Israel,18135,0.0697446350280748,0.276509703474137,0.327887493301991,0.0930491535046189,0.393509010663251,0.595475555871212,0.303723686676828,NA,NA,NA,NA,NA,NA
2012,Israel,27196,0.104591954465041,0.0713832330176839,0.253928475566274,0.720607836066454,0.327887493301991,0.0930491535046189,0.276509703474137,0.721396503965242,0.688524709375831,0.580233390150965,NA,NA,NA
2013,Israel,24848,0.0955618798553957,0.29742095203613,0.377706754539286,0.280491091978541,0.253928475566274,0.720607836066454,0.0713832330176839,0.581815968868265,0.813656989571073,0.347892936491821,0.975324979531517,1.40913254544228,0.651616623168649
2014,Israel,22647,0.0870971463733559,0.11316566582153,0.590711972906582,0.167093825005448,0.377706754539286,0.280491091978541,0.29742095203613,0.63163523010556,1.00109892804499,0.368804185053814,0.959522723407551,1.09414808154961,0.645313888527951
2015,Israel,31086,0.119552342127529,0.555293863732641,0.00606134492348067,0.634168212619166,0.590711972906582,0.167093825005448,0.11316566582153,0.968418727445868,0.447584916983989,0.41058661785766,1.22234720301214,1.16819275305044,0.481969850875344
